Participant id,Weekly ai (artificial intelligence) use,Highest education level completed,Work function,Age,Sex
684f05593c8301d7db6ecd83,Multiple times every day,Doctorate degree (PhD/other),Engineering (e.g. software),30,Female
6759faea38faca8e359a5f99,Multiple times every day,Graduate degree (MA/MSc/MPhil/other),Data Analysis,19,Female
59dccd61e75b450001a689b7,2-6 times a week,Graduate degree (MA/MSc/MPhil/other),Engineering (e.g. software),57,Male
67cec27daaf29e150e2440c0,Multiple times every day,Graduate degree (MA/MSc/MPhil/other),IT / Information Networking / Information Security,23,Male
68123a73ba06c472ccd5edb8,Multiple times every day,Graduate degree (MA/MSc/MPhil/other),IT / Information Networking / Information Security,45,Female
6661a447549e60aabcd72e38,Multiple times every day,Graduate degree (MA/MSc/MPhil/other),Engineering (e.g. software),34,Male
673a2e12fc7b7863f7d57771,Every day,Graduate degree (MA/MSc/MPhil/other),IT / Information Networking / Information Security,34,Male
672de648af50014c67c693db,Every day,Graduate degree (MA/MSc/MPhil/other),Engineering (e.g. software),32,Female
68261f711d5a8c5b71610d4b,Multiple times every day,Doctorate degree (PhD/other),IT / Information Networking / Information Security,20,Male
6776f38de0654cfa5e991b30,Multiple times every day,Graduate degree (MA/MSc/MPhil/other),Research,31,Male
6883a8504728f57551e8c82b,Multiple times every day,Doctorate degree (PhD/other),IT / Information Networking / Information Security,42,Male
60e5fa452bd56bda03990e27,Multiple times every day,Graduate degree (MA/MSc/MPhil/other),Data Analysis,45,Male
6658b2050980b63fc8fdbd13,2-6 times a week,Graduate degree (MA/MSc/MPhil/other),Engineering (e.g. software),25,Male
668e9165d55b3b68f850838f,Multiple times every day,Doctorate degree (PhD/other),Engineering (e.g. software),36,Male
672a35319c5a754a0358a842,Every day,Doctorate degree (PhD/other),Data Analysis,30,Male
671a64f3a766bb5b94d9f89a,Multiple times every day,Graduate degree (MA/MSc/MPhil/other),Data Analysis,31,Female
67d1812e25158f41a334bede,Multiple times every day,Graduate degree (MA/MSc/MPhil/other),Engineering (e.g. software),50,Male
6766d0e8525bc0623d301057,Multiple times every day,Graduate degree (MA/MSc/MPhil/other),IT / Information Networking / Information Security,35,Male
672a57f001263d65e0a989d7,Every day,Graduate degree (MA/MSc/MPhil/other),Engineering (e.g. software),28,Male
664a6d5a65f30b00d2685804,2-6 times a week,Graduate degree (MA/MSc/MPhil/other),Engineering (e.g. software),59,Male
58ff31a1d10e2b000108579e,2-6 times a week,Doctorate degree (PhD/other),IT / Information Networking / Information Security,57,Male
677703d847b1d7a5c0c3177b,Multiple times every day,Graduate degree (MA/MSc/MPhil/other),Data Analysis,27,Female
62d745b595498b440c1f2090,2-6 times a week,Graduate degree (MA/MSc/MPhil/other),IT / Information Networking / Information Security,34,Male
670ff7a65beb0c8e83fe3fa3,Multiple times every day,Graduate degree (MA/MSc/MPhil/other),Data Analysis,27,Female
